0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:12 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:48 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:48 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:48 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 200 3093
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:48 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:49 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:49 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:49 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:32:53 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:34:44 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:34:44 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:34:44 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:34:44 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:35:13 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
