127.0.0.1 - - [19/Oct/2015:11:55:39 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:40 +0530] "GET /MVC-Assignment-1/ HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:40 +0530] "GET /MVC-Assignment-1/view/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:40 +0530] "GET /MVC-Assignment-1/view/images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:42 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:44 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:55:45 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:56:32 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:56:55 +0530] "GET /MVC-Assignment-1/view/index.jsp HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:56:55 +0530] "GET /MVC-Assignment-1/view/view/images/logo_meta.gif HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Oct/2015:11:56:55 +0530] "GET /MVC-Assignment-1/view/view/css/custom.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:08 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:09 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:10 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:10 +0530] "GET /MVC-Assignment-1/view/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:11 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:13 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:13 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:15 +0530] "GET /MVC-Assignment-1/ViewDetails?id=1 HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:19 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:20 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:20 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Oct/2015:12:09:21 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1798
