127.0.0.1 - - [23/Oct/2015:16:21:32 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:21:33 +0530] "GET /MVC2Assignment1/ HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:21:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:12 +0530] "GET /MVC-Assignment-1/ HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:12 +0530] "GET /MVC-Assignment-1/view/images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:12 +0530] "GET /MVC-Assignment-1/view/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:14 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:15 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:16 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:16 +0530] "GET /MVC-Assignment-1/view/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:17 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:17 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:18 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:20 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:22 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:22 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:23 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:23 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:24 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:28 +0530] "GET /MVC-Assignment-1/ViewDetails?id=1 HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:33 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=1 HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:37 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=2 HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:40 +0530] "GET /MVC-Assignment-1/ViewDetails?id=3 HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:42 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=3 HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:44 +0530] "GET /MVC-Assignment-1/ViewDetails?id=4 HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:46 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=4 HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:52 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:53 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:22:54 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:23:38 +0530] "GET /MVC-Assignment-1/ViewDetails?id=1 HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:23:42 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=1 HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:24:01 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:24:01 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:24:02 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:24:51 +0530] "GET /MVC-Assignment-1/RegisterChangeUser?id=1 HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:00 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:01 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:01 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:01 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:02 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:25:03 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:10 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:11 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:12 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:13 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:13 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:14 +0530] "GET /MVC-Assignment-1/FetchRecords HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:16 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:18 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:19 +0530] "GET /MVC-Assignment-1/Home HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [23/Oct/2015:17:13:20 +0530] "GET /MVC-Assignment-1/RegisterChangeUser HTTP/1.1" 200 1780
